Domain,Phylum,Class,Order,Family,Genus,MergedBinID,Accession,TR07_B01,TR08_B01,TR09_B01,TR10_B01,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05,TR16_B05,TR17_B05_MW,TR12_M01,TR13_M01,TR14_M01,TR16_M01,TR17_M01,TR17_M01_DG,TR17_M01_LG,TR06_PB,TR12_W_P,TR13_W_P,White,TR07_B01_sup,TR08_B01_sup,TR09_B01_sup,TR10_B01_sup,TR08_B05_sup,TR09_B05_sup,TR10_B05_sup,TR11_B05_sup,TR13_B05_sup,TR14_B05_sup,TR16_B05_sup,TR17_B05_sup
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01414,19,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00456,44,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,35,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00401,42,0,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01070,15,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00403,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01158,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00973,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01325,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00262,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01046,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00966,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01358,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01073,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00968,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00531,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00409,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00157,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00190,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00982,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01051,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00367,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00957,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00470,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01336,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00350,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
